epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,2415.22,0.63725,0.35336,0.92576,0.98145,0.98768,0.98634,0.8174,0.74251,0.33792,0.98595,0.000852837,0.000852837,0.000852837
150,2431.89,0.63626,0.35812,0.91839,0.98261,0.99419,0.98863,0.8192,0.75306,0.3387,0.99033,0.000847336,0.000847336,0.000847336
151,2448.53,0.62109,0.35064,0.92303,0.9814,0.99034,0.98847,0.81965,0.75973,0.33858,0.99367,0.000841835,0.000841835,0.000841835
152,2465.2,0.63104,0.34872,0.91603,0.97661,0.98454,0.984,0.8186,0.74824,0.34076,0.99179,0.000836334,0.000836334,0.000836334
153,2481.86,0.63633,0.3517,0.92719,0.96403,0.99101,0.98769,0.82068,0.73277,0.33843,0.96851,0.000830833,0.000830833,0.000830833
154,2498.55,0.64073,0.35558,0.92072,0.97593,0.98646,0.98658,0.81309,0.74627,0.34546,0.98381,0.000825332,0.000825332,0.000825332
155,2515.28,0.60858,0.34543,0.91342,0.97292,0.98759,0.98609,0.82244,0.74305,0.34422,0.9845,0.000819831,0.000819831,0.000819831
156,2530.94,0.62876,0.35239,0.92013,0.97858,0.9879,0.98638,0.81814,0.74683,0.34502,0.98584,0.000814329,0.000814329,0.000814329
157,2544.33,0.62205,0.35252,0.91337,0.9733,0.98687,0.98471,0.8166,0.74953,0.34259,0.98585,0.000808828,0.000808828,0.000808828
158,2557.76,0.62698,0.34552,0.91127,0.97306,0.98547,0.98569,0.81452,0.74036,0.34231,0.97303,0.000803327,0.000803327,0.000803327
159,2572.79,0.62591,0.34588,0.92123,0.97812,0.98256,0.98433,0.81234,0.75348,0.33575,0.99604,0.000797826,0.000797826,0.000797826
160,2589.72,0.6475,0.35484,0.92906,0.9691,0.98837,0.98583,0.81333,0.74233,0.3308,0.98039,0.000792325,0.000792325,0.000792325
161,2606.54,0.60637,0.3344,0.90558,0.97882,0.97965,0.98537,0.8214,0.75119,0.34151,0.98826,0.000786824,0.000786824,0.000786824
162,2623.32,0.62407,0.34464,0.9126,0.97813,0.98226,0.98094,0.81641,0.74564,0.34024,0.98958,0.000781323,0.000781323,0.000781323
163,2640.06,0.60098,0.33912,0.90895,0.97282,0.98512,0.98852,0.81926,0.74135,0.33804,0.97145,0.000775822,0.000775822,0.000775822
164,2656.83,0.60845,0.33947,0.91084,0.97193,0.98837,0.98473,0.82689,0.74793,0.33794,0.98571,0.000770321,0.000770321,0.000770321
165,2673.52,0.62172,0.344,0.91411,0.97274,0.98869,0.98846,0.83176,0.74109,0.33115,0.97622,0.00076482,0.00076482,0.00076482
166,2690.23,0.61734,0.34038,0.90924,0.97313,0.98449,0.98713,0.81708,0.7464,0.33272,0.97953,0.000759318,0.000759318,0.000759318
167,2706.88,0.60777,0.34139,0.91188,0.97694,0.98995,0.98385,0.81516,0.74236,0.32645,0.99397,0.000753817,0.000753817,0.000753817
168,2723.54,0.59653,0.33792,0.90746,0.96629,0.98837,0.98636,0.81996,0.73824,0.33482,0.98538,0.000748316,0.000748316,0.000748316
169,2740.16,0.62348,0.34455,0.91928,0.97462,0.99419,0.98637,0.8171,0.75259,0.33404,0.98785,0.000742815,0.000742815,0.000742815
170,2756.8,0.61018,0.33962,0.91144,0.98289,0.98142,0.988,0.82018,0.74202,0.33699,0.98053,0.000737314,0.000737314,0.000737314
171,2772.49,0.60221,0.33495,0.91881,0.97766,0.9873,0.98578,0.82333,0.73741,0.33141,0.97577,0.000731813,0.000731813,0.000731813
172,2785.83,0.61607,0.34057,0.91348,0.97308,0.99128,0.98353,0.81813,0.74855,0.33913,0.99297,0.000726312,0.000726312,0.000726312
173,2799.23,0.59785,0.3396,0.91346,0.97165,0.99128,0.98686,0.82062,0.74962,0.33453,0.98185,0.000720811,0.000720811,0.000720811
174,2814.26,0.60562,0.33931,0.91421,0.98537,0.97275,0.98647,0.82172,0.73791,0.33247,0.97768,0.00071531,0.00071531,0.00071531
175,2831.14,0.61728,0.33558,0.91976,0.98146,0.97965,0.9839,0.81378,0.75745,0.335,0.99308,0.000709809,0.000709809,0.000709809
176,2847.92,0.59382,0.32983,0.90509,0.973,0.98426,0.98041,0.82246,0.74666,0.33706,0.99686,0.000704307,0.000704307,0.000704307
177,2864.65,0.59832,0.33904,0.90909,0.97527,0.98839,0.98628,0.82025,0.7333,0.3386,0.98569,0.000698806,0.000698806,0.000698806
178,2881.34,0.59362,0.32952,0.90536,0.97605,0.99053,0.98425,0.81759,0.75426,0.33813,0.98809,0.000693305,0.000693305,0.000693305
179,2898.02,0.59983,0.32948,0.90511,0.97838,0.98837,0.98443,0.8202,0.75208,0.33699,0.99743,0.000687804,0.000687804,0.000687804
180,2914.63,0.61197,0.34015,0.90915,0.97315,0.98748,0.98317,0.81836,0.74366,0.33374,0.99522,0.000682303,0.000682303,0.000682303
181,2931.24,0.59438,0.33211,0.91038,0.97306,0.9824,0.98587,0.81992,0.74387,0.33059,0.98972,0.000676802,0.000676802,0.000676802
