epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,2495.19,0.56484,0.31509,0.8903,0.97672,0.98256,0.98618,0.82123,0.73504,0.32753,0.98015,0.000321981,0.000321981,0.000321981
165,2509.21,0.57838,0.32132,0.89711,0.97658,0.98486,0.98602,0.82048,0.74063,0.32452,0.97751,0.000313729,0.000313729,0.000313729
166,2526.13,0.57932,0.31516,0.89366,0.97722,0.97914,0.98549,0.81608,0.7438,0.33188,0.98535,0.000305478,0.000305478,0.000305478
167,2542.95,0.57012,0.31798,0.89482,0.98155,0.98478,0.98775,0.8154,0.75157,0.33118,0.98605,0.000297226,0.000297226,0.000297226
168,2559.66,0.55929,0.30983,0.89017,0.97784,0.98837,0.98706,0.81829,0.74119,0.33013,0.97997,0.000288974,0.000288974,0.000288974
169,2576.31,0.58493,0.31327,0.90207,0.97536,0.98547,0.98585,0.81948,0.74544,0.32988,0.9853,0.000280723,0.000280723,0.000280723
170,2593.01,0.56958,0.31705,0.89264,0.98097,0.98215,0.98731,0.81982,0.7469,0.32618,0.984,0.000272471,0.000272471,0.000272471
171,2609.66,0.56113,0.30972,0.90263,0.97622,0.98256,0.98513,0.81816,0.74338,0.32381,0.98246,0.00026422,0.00026422,0.00026422
172,2625.22,0.56699,0.31156,0.89043,0.98027,0.98547,0.98704,0.81912,0.76222,0.33518,1.00002,0.000255968,0.000255968,0.000255968
173,2638.56,0.5536,0.307,0.89588,0.9783,0.98505,0.98667,0.81337,0.75329,0.33088,0.98974,0.000247716,0.000247716,0.000247716
174,2651.99,0.55792,0.31028,0.89343,0.9804,0.98197,0.98712,0.82024,0.74838,0.32675,0.98471,0.000239465,0.000239465,0.000239465
175,2665.65,0.567,0.30582,0.897,0.98192,0.98256,0.98673,0.82295,0.74118,0.32557,0.98105,0.000231213,0.000231213,0.000231213
176,2682.94,0.55595,0.30412,0.8855,0.97808,0.98256,0.98664,0.82333,0.75075,0.32944,0.98949,0.000222961,0.000222961,0.000222961
177,2700.03,0.55309,0.30549,0.88877,0.97534,0.98384,0.98608,0.8233,0.74548,0.33155,0.98782,0.00021471,0.00021471,0.00021471
178,2717.06,0.55041,0.30166,0.88867,0.97712,0.98547,0.98696,0.82286,0.74673,0.32949,0.98695,0.000206458,0.000206458,0.000206458
179,2735.6,0.55848,0.29984,0.89212,0.98138,0.98256,0.98719,0.824,0.73579,0.32466,0.98223,0.000198206,0.000198206,0.000198206
180,2752.74,0.56154,0.30798,0.89011,0.98431,0.97965,0.98604,0.82073,0.74553,0.32549,0.99321,0.000189955,0.000189955,0.000189955
181,2769.64,0.54965,0.30132,0.89187,0.98245,0.98256,0.98548,0.8222,0.7423,0.32513,0.99187,0.000181703,0.000181703,0.000181703
